顧客ID,性別コード,年齢層,お仕事,お住まい,家族構成,趣味・関心事,最近の悩み,顧客プロフィール,会員ランク,年間購入額
2fdfd1d6,男,32,教員,神奈川県,既婚子なし,カフェ巡り、ガーデニング,人間関係,神奈川県在住32歳男性。教員として働く。趣味はカフェ巡り、ガーデニング。,シルバー,52538
922ab1aa,女,26,医療従事者,愛知県,独身,写真、旅行、DIY,ワークライフバランス,愛知県在住26歳女性。医療従事者として働く。趣味は写真、旅行、DIY。,ブロンズ,249984
30283fda,男,30,医療従事者,北海道,独身,スポーツ、読書、ガーデニング、音楽,スキルアップ,北海道在住30歳男性。医療従事者として働く。趣味はスポーツ、読書、ガーデニング、音楽。,ゴールド,223535
7beee4b4,男,44,教員,千葉県,独身,音楽、料理,ワークライフバランス,千葉県在住44歳男性。教員として働く。趣味は音楽、料理。,シルバー,301309
2c8e7c34,男,38,パート,千葉県,独身,写真、読書,スキルアップ,千葉県在住38歳男性。パートとして働く。趣味は写真、読書。,ブロンズ,85690
220f3324,男,32,販売スタッフ,福岡県,独身,ガーデニング、カフェ巡り、旅行,ワークライフバランス,福岡県在住32歳男性。販売スタッフとして働く。趣味はガーデニング、カフェ巡り、旅行。,ゴールド,215447
c81aca17,女,46,教員,広島県,独身,DIY、音楽,スキルアップ,広島県在住46歳女性。教員として働く。趣味はDIY、音楽。,ゴールド,152826
023b6fdd,女,67,事務職,神奈川県,既婚子あり（2人以上）,カフェ巡り、写真、ショッピング、DIY,ワークライフバランス,神奈川県在住67歳女性。事務職として働く。趣味はカフェ巡り、写真、ショッピング、DIY。,一般,108255
de18bc9a,女,61,医療従事者,宮城県,既婚子なし,旅行、音楽、アウトドア、読書,人間関係,宮城県在住61歳女性。医療従事者として働く。趣味は旅行、音楽、アウトドア、読書。,シルバー,292656
7b8e68b2,女,49,学生,大阪府,既婚子あり（2人以上）,料理、旅行,健康管理,大阪府在住49歳女性。学生として働く。趣味は料理、旅行。,ブロンズ,250330
a4bdac13,男,45,医療従事者,福岡県,既婚子なし,旅行、ショッピング、アウトドア、DIY,老後の資金,福岡県在住45歳男性。医療従事者として働く。趣味は旅行、ショッピング、アウトドア、DIY。,ブロンズ,101692
cf770603,女,61,学生,愛知県,独身,料理、写真、読書,ワークライフバランス,愛知県在住61歳女性。学生として働く。趣味は料理、写真、読書。,ゴールド,325013
ea33c470,女,23,教員,広島県,既婚子あり（2人以上）,読書、映画鑑賞、カフェ巡り,ワークライフバランス,広島県在住23歳女性。教員として働く。趣味は読書、映画鑑賞、カフェ巡り。,一般,260702
fc797154,女,64,事務職,東京都,既婚子なし,映画鑑賞、ショッピング、ゲーム,副業,東京都在住64歳女性。事務職として働く。趣味は映画鑑賞、ショッピング、ゲーム。,シルバー,445226
92d3bdd6,女,52,主婦,千葉県,既婚子あり（2人以上）,映画鑑賞、アウトドア、スポーツ,健康管理,千葉県在住52歳女性。主婦として働く。趣味は映画鑑賞、アウトドア、スポーツ。,ブロンズ,213007
756b05ef,女,52,事務職,東京都,既婚子あり（2人以上）,スポーツ、カフェ巡り、ガーデニング,ワークライフバランス,東京都在住52歳女性。事務職として働く。趣味はスポーツ、カフェ巡り、ガーデニング。,一般,335367
f5f29ca4,女,47,営業職,埼玉県,既婚子あり（2人以上）,スポーツ、DIY、ゲーム,老後の資金,埼玉県在住47歳女性。営業職として働く。趣味はスポーツ、DIY、ゲーム。,ブロンズ,276025
cce1ee65,男,51,主婦,東京都,既婚子なし,料理、スポーツ,子供の教育,東京都在住51歳男性。主婦として働く。趣味は料理、スポーツ。,シルバー,415386
c7e3b67e,男,69,教員,宮城県,既婚子あり（2人以上）,アウトドア、DIY、スポーツ,転職,宮城県在住69歳男性。教員として働く。趣味はアウトドア、DIY、スポーツ。,ブロンズ,46758
abf1ab73,女,60,ITエンジニア,愛知県,独身,ゲーム、ショッピング,転職,愛知県在住60歳女性。ITエンジニアとして働く。趣味はゲーム、ショッピング。,ゴールド,284847
5b013d34,男,21,医療従事者,埼玉県,既婚子あり（1人）,映画鑑賞、ショッピング,転職,埼玉県在住21歳男性。医療従事者として働く。趣味は映画鑑賞、ショッピング。,シルバー,73392
ad7f0c03,女,37,教員,福岡県,独身,ゲーム、映画鑑賞、ショッピング,住宅ローン,福岡県在住37歳女性。教員として働く。趣味はゲーム、映画鑑賞、ショッピング。,シルバー,375471
63575240,男,29,パート,愛知県,既婚子あり（1人）,写真、映画鑑賞,健康管理,愛知県在住29歳男性。パートとして働く。趣味は写真、映画鑑賞。,一般,70187
8854a3ec,女,42,営業職,宮城県,既婚子あり（2人以上）,映画鑑賞、ガーデニング,住宅ローン,宮城県在住42歳女性。営業職として働く。趣味は映画鑑賞、ガーデニング。,ゴールド,389402
43b31ccb,女,45,学生,福岡県,既婚子あり（1人）,ガーデニング、アウトドア、料理,副業,福岡県在住45歳女性。学生として働く。趣味はガーデニング、アウトドア、料理。,ブロンズ,339357
52821a53,男,26,ITエンジニア,広島県,独身,映画鑑賞、ショッピング,キャリアアップ,広島県在住26歳男性。ITエンジニアとして働く。趣味は映画鑑賞、ショッピング。,シルバー,92676
15e30549,女,31,管理職,東京都,独身,スポーツ、写真,住宅ローン,東京都在住31歳女性。管理職として働く。趣味はスポーツ、写真。,ゴールド,415361
dd1aebee,男,35,教員,東京都,独身,映画鑑賞、写真、アウトドア、読書,スキルアップ,東京都在住35歳男性。教員として働く。趣味は映画鑑賞、写真、アウトドア、読書。,ブロンズ,302467
b27c2a84,女,21,営業職,愛知県,独身,カフェ巡り、DIY、写真、アウトドア,住宅ローン,愛知県在住21歳女性。営業職として働く。趣味はカフェ巡り、DIY、写真、アウトドア。,ゴールド,287888
0d9fef37,女,52,販売スタッフ,愛知県,既婚子あり（2人以上）,写真、スポーツ、アウトドア,副業,愛知県在住52歳女性。販売スタッフとして働く。趣味は写真、スポーツ、アウトドア。,シルバー,348575
806a70bd,女,57,ITエンジニア,福岡県,既婚子あり（1人）,音楽、スポーツ、アウトドア、カフェ巡り,老後の資金,福岡県在住57歳女性。ITエンジニアとして働く。趣味は音楽、スポーツ、アウトドア、カフェ巡り。,シルバー,308555
72a67ec2,女,45,学生,埼玉県,既婚子なし,ガーデニング、旅行、DIY、カフェ巡り,副業,埼玉県在住45歳女性。学生として働く。趣味はガーデニング、旅行、DIY、カフェ巡り。,ブロンズ,20847
c26defbc,女,60,フリーランス,千葉県,既婚子あり（1人）,スポーツ、ゲーム、写真,子供の教育,千葉県在住60歳女性。フリーランスとして働く。趣味はスポーツ、ゲーム、写真。,一般,14595
4fbb7f58,男,56,事務職,千葉県,既婚子なし,カフェ巡り、旅行、スポーツ、映画鑑賞,健康管理,千葉県在住56歳男性。事務職として働く。趣味はカフェ巡り、旅行、スポーツ、映画鑑賞。,ブロンズ,63098
e71bcaa2,男,64,主婦,愛知県,既婚子あり（2人以上）,旅行、ゲーム、映画鑑賞,子供の教育,愛知県在住64歳男性。主婦として働く。趣味は旅行、ゲーム、映画鑑賞。,ゴールド,106131
2ec26d90,女,42,教員,千葉県,独身,アウトドア、DIY、料理,スキルアップ,千葉県在住42歳女性。教員として働く。趣味はアウトドア、DIY、料理。,一般,56345
85de1dd9,女,30,フリーランス,東京都,既婚子あり（2人以上）,ゲーム、アウトドア,子供の教育,東京都在住30歳女性。フリーランスとして働く。趣味はゲーム、アウトドア。,ゴールド,143625
701d6079,女,51,教員,愛知県,既婚子あり（1人）,カフェ巡り、DIY、アウトドア、旅行,キャリアアップ,愛知県在住51歳女性。教員として働く。趣味はカフェ巡り、DIY、アウトドア、旅行。,ブロンズ,117942
88c660d9,女,35,事務職,大阪府,既婚子なし,スポーツ、カフェ巡り、読書、DIY,住宅ローン,大阪府在住35歳女性。事務職として働く。趣味はスポーツ、カフェ巡り、読書、DIY。,ゴールド,382644
92259d96,女,25,学生,神奈川県,既婚子あり（1人）,料理、映画鑑賞、読書,人間関係,神奈川県在住25歳女性。学生として働く。趣味は料理、映画鑑賞、読書。,ブロンズ,327198
fa94e48e,男,49,管理職,宮城県,既婚子あり（2人以上）,ガーデニング、読書,健康管理,宮城県在住49歳男性。管理職として働く。趣味はガーデニング、読書。,ゴールド,406544
50c98d85,女,25,医療従事者,神奈川県,既婚子あり（2人以上）,スポーツ、映画鑑賞、料理、アウトドア,キャリアアップ,神奈川県在住25歳女性。医療従事者として働く。趣味はスポーツ、映画鑑賞、料理、アウトドア。,一般,484445
c0eb9863,男,50,販売スタッフ,広島県,既婚子なし,スポーツ、アウトドア、ショッピング、音楽,健康管理,広島県在住50歳男性。販売スタッフとして働く。趣味はスポーツ、アウトドア、ショッピング、音楽。,ゴールド,186012
ff1cfa9f,男,25,パート,神奈川県,既婚子なし,旅行、写真,住宅ローン,神奈川県在住25歳男性。パートとして働く。趣味は旅行、写真。,シルバー,319765
f36f3667,男,43,事務職,愛知県,既婚子なし,アウトドア、旅行,ワークライフバランス,愛知県在住43歳男性。事務職として働く。趣味はアウトドア、旅行。,一般,431721
a137cc26,女,58,フリーランス,千葉県,独身,DIY、料理、アウトドア、映画鑑賞,副業,千葉県在住58歳女性。フリーランスとして働く。趣味はDIY、料理、アウトドア、映画鑑賞。,一般,481259
7a9a0869,男,47,主婦,東京都,既婚子あり（2人以上）,旅行、スポーツ、ガーデニング,人間関係,東京都在住47歳男性。主婦として働く。趣味は旅行、スポーツ、ガーデニング。,ブロンズ,486862
758a749b,女,59,ITエンジニア,福岡県,既婚子あり（1人）,旅行、アウトドア、料理,子供の教育,福岡県在住59歳女性。ITエンジニアとして働く。趣味は旅行、アウトドア、料理。,シルバー,23947
df76bfcc,男,33,ITエンジニア,東京都,独身,ガーデニング、カフェ巡り、DIY、アウトドア,健康管理,東京都在住33歳男性。ITエンジニアとして働く。趣味はガーデニング、カフェ巡り、DIY、アウトドア。,ゴールド,487472
18c076f9,男,66,管理職,福岡県,独身,旅行、映画鑑賞、ショッピング、ガーデニング,子供の教育,福岡県在住66歳男性。管理職として働く。趣味は旅行、映画鑑賞、ショッピング、ガーデニング。,一般,228692
6795d7a7,男,60,パート,神奈川県,独身,映画鑑賞、ガーデニング,キャリアアップ,神奈川県在住60歳男性。パートとして働く。趣味は映画鑑賞、ガーデニング。,シルバー,212673
4e3c585e,男,58,営業職,埼玉県,既婚子あり（2人以上）,アウトドア、ショッピング,住宅ローン,埼玉県在住58歳男性。営業職として働く。趣味はアウトドア、ショッピング。,シルバー,183572
31807648,女,43,フリーランス,愛知県,独身,音楽、映画鑑賞、ガーデニング,副業,愛知県在住43歳女性。フリーランスとして働く。趣味は音楽、映画鑑賞、ガーデニング。,シルバー,266211
047f8d63,男,21,営業職,大阪府,既婚子あり（2人以上）,読書、ショッピング、ゲーム、音楽,人間関係,大阪府在住21歳男性。営業職として働く。趣味は読書、ショッピング、ゲーム、音楽。,ブロンズ,138867
b1cd2c7a,男,39,ITエンジニア,福岡県,既婚子あり（1人）,ショッピング、アウトドア、読書,子供の教育,福岡県在住39歳男性。ITエンジニアとして働く。趣味はショッピング、アウトドア、読書。,ブロンズ,394797
0051208b,男,52,管理職,北海道,独身,映画鑑賞、DIY、アウトドア,ワークライフバランス,北海道在住52歳男性。管理職として働く。趣味は映画鑑賞、DIY、アウトドア。,一般,401792
b7c7d91f,男,43,営業職,広島県,独身,ショッピング、アウトドア,健康管理,広島県在住43歳男性。営業職として働く。趣味はショッピング、アウトドア。,ブロンズ,271990
9cfb739e,男,24,教員,神奈川県,既婚子あり（1人）,映画鑑賞、料理、DIY、ガーデニング,キャリアアップ,神奈川県在住24歳男性。教員として働く。趣味は映画鑑賞、料理、DIY、ガーデニング。,ゴールド,150501
0da93951,男,36,教員,宮城県,既婚子あり（2人以上）,ショッピング、DIY、ガーデニング,スキルアップ,宮城県在住36歳男性。教員として働く。趣味はショッピング、DIY、ガーデニング。,ブロンズ,374673
c49437b7,女,30,学生,千葉県,独身,ゲーム、ショッピング、ガーデニング、料理,転職,千葉県在住30歳女性。学生として働く。趣味はゲーム、ショッピング、ガーデニング、料理。,ゴールド,370457
31d699b5,女,38,フリーランス,広島県,既婚子あり（2人以上）,ゲーム、映画鑑賞、ショッピング、カフェ巡り,転職,広島県在住38歳女性。フリーランスとして働く。趣味はゲーム、映画鑑賞、ショッピング、カフェ巡り。,一般,19031
0ecc70f4,男,65,営業職,福岡県,既婚子あり（2人以上）,DIY、写真,キャリアアップ,福岡県在住65歳男性。営業職として働く。趣味はDIY、写真。,ゴールド,231281
7b5d2b2a,女,27,営業職,愛知県,既婚子なし,スポーツ、ゲーム,人間関係,愛知県在住27歳女性。営業職として働く。趣味はスポーツ、ゲーム。,一般,172803
d7404253,男,50,管理職,広島県,既婚子あり（2人以上）,料理、映画鑑賞、アウトドア,老後の資金,広島県在住50歳男性。管理職として働く。趣味は料理、映画鑑賞、アウトドア。,ブロンズ,376283
9b6da185,男,50,販売スタッフ,北海道,既婚子あり（1人）,料理、カフェ巡り、映画鑑賞、ゲーム,人間関係,北海道在住50歳男性。販売スタッフとして働く。趣味は料理、カフェ巡り、映画鑑賞、ゲーム。,ゴールド,342320
10934be1,女,62,教員,神奈川県,既婚子なし,写真、ショッピング、ゲーム、スポーツ,スキルアップ,神奈川県在住62歳女性。教員として働く。趣味は写真、ショッピング、ゲーム、スポーツ。,シルバー,333159
95cf8f63,女,41,主婦,千葉県,既婚子あり（1人）,カフェ巡り、料理,キャリアアップ,千葉県在住41歳女性。主婦として働く。趣味はカフェ巡り、料理。,一般,391457
c75f941a,男,30,事務職,北海道,既婚子あり（2人以上）,ガーデニング、映画鑑賞,健康管理,北海道在住30歳男性。事務職として働く。趣味はガーデニング、映画鑑賞。,ゴールド,185335
1df10689,女,58,ITエンジニア,愛知県,既婚子あり（1人）,アウトドア、読書、ガーデニング,老後の資金,愛知県在住58歳女性。ITエンジニアとして働く。趣味はアウトドア、読書、ガーデニング。,一般,469411
4c897826,女,64,教員,広島県,既婚子あり（2人以上）,カフェ巡り、DIY,健康管理,広島県在住64歳女性。教員として働く。趣味はカフェ巡り、DIY。,一般,189438
00a27d1c,男,64,事務職,福岡県,既婚子あり（2人以上）,DIY、映画鑑賞,スキルアップ,福岡県在住64歳男性。事務職として働く。趣味はDIY、映画鑑賞。,一般,40630
fcd7e84c,女,42,医療従事者,宮城県,独身,料理、写真、旅行,人間関係,宮城県在住42歳女性。医療従事者として働く。趣味は料理、写真、旅行。,ゴールド,450735
e4658bd7,男,58,教員,福岡県,既婚子なし,ガーデニング、ゲーム、映画鑑賞,キャリアアップ,福岡県在住58歳男性。教員として働く。趣味はガーデニング、ゲーム、映画鑑賞。,シルバー,42866
1397751d,女,22,主婦,福岡県,既婚子あり（2人以上）,ショッピング、写真、映画鑑賞、旅行,スキルアップ,福岡県在住22歳女性。主婦として働く。趣味はショッピング、写真、映画鑑賞、旅行。,ブロンズ,444912
3f688741,女,39,学生,北海道,既婚子あり（2人以上）,スポーツ、DIY、アウトドア,健康管理,北海道在住39歳女性。学生として働く。趣味はスポーツ、DIY、アウトドア。,シルバー,162513
e46c1240,男,59,事務職,埼玉県,既婚子なし,料理、音楽,健康管理,埼玉県在住59歳男性。事務職として働く。趣味は料理、音楽。,ゴールド,499420
586e111b,男,51,パート,広島県,既婚子あり（2人以上）,読書、料理、DIY,老後の資金,広島県在住51歳男性。パートとして働く。趣味は読書、料理、DIY。,ゴールド,373603
7439d9af,女,44,事務職,北海道,既婚子なし,ガーデニング、写真、ゲーム、旅行,子供の教育,北海道在住44歳女性。事務職として働く。趣味はガーデニング、写真、ゲーム、旅行。,ブロンズ,295411
